ROUTEID,R2,MODEL,MAE,RMSE,Weight
83_16,0.6280888691327442,RFR,-517.5692714597282,-718.4271086065916,0.0061972787298014
76_36,0.6235468933558649,RFR,-388.7525130045294,-555.1623463245224,0.0061674161135533
18_4,0.7185769974127503,RFR,-443.6753182337811,-618.7823450038203,0.0061548423803962
15A_84,0.7104210849473276,RFR,-311.68489630285825,-436.6913688247078,0.0061406969305945
18_3,0.7086733655567047,RFR,-419.6007068588973,-608.6641149181422,0.0061359817806606
151_15,0.6709125098866062,RFR,-363.4051968560792,-543.0238167552848,0.0061014040144786
120_9,0.4956588282617415,RFR,-193.04787477302207,-296.3956575421919,0.006099832297834
67_4,0.5351780426507403,RFR,-423.7253083483979,-647.8062060628889,0.0060291050488253
31_15,0.5670560235017508,RFR,-310.8157312821533,-442.36254889089577,0.0060212464656021
120_7,0.4514832523226377,LR,-217.4290517171224,-316.1231180826823,0.0059693798163291
76_37,0.6360044678638007,RFR,-314.96589680791845,-510.6810767958064,0.0059379454834364
83_22,0.5147683482340792,RFR,-524.765816002236,-742.4973350536314,0.0057210485864766
49_27,0.6090832219990471,RFR,-368.3327645187424,-586.9865858401226,0.0050043457965224
49_28,0.6998798547852331,RFR,-416.9869269623866,-580.1940528398915,0.0048880387648193
27A_5,0.5190502496861634,RFR,-228.34511021664437,-343.2566681738492,0.0048440306987695
27A_4,0.564323106485204,RFR,-215.86994855721343,-408.0046424084277,0.0047968791994304
13_67,0.5679541037243458,RFR,-605.274411063168,-906.314740829398,0.0046538529847684
11_40,0.8017657606305172,RFR,-280.7220042035368,-528.9160786977435,0.0045234005032636
102_8,0.56631316313686,RFR,-346.8813907275503,-484.2962095046311,0.0045108267701065
54A_11,0.5530110774709882,RFR,-383.8172718431679,-598.7004462166287,0.0043960914550481
7A_85,0.6561588675622235,RFR,-429.45338329104766,-612.4894107348756,0.0043929480217588
54A_12,0.6907832767466581,RFR,-396.994786169448,-580.268458392075,0.0043929480217588
102_9,0.5151692602218859,RFR,-330.60348584652576,-458.2018557716653,0.0043898045884695
75_17,0.634852719790774,RFR,-450.4279827957705,-654.0446181548745,0.0042703541234772
38_9,0.7099059106228,RFR,-417.4590169610837,-580.7507859621975,0.0042562086736754
38_14,0.625362124583163,RFR,-477.78855346272695,-688.2271502475387,0.0042389197905844
38A_20,0.6112029259627274,RFR,-487.6291839145079,-674.8440845207145,0.0042027703077578
75_19,0.5743371934869388,RFR,-445.1260264171472,-697.5241591191665,0.0041320430587491
13_60,0.5095180474001485,LR,-699.4257590352832,-980.2841338472734,0.0039654410944177
79A_27,0.410755944392376,RFR,-315.7521344711177,-512.3448171360338,0.0039151461617893
7_72,0.6223582228453283,RFR,-486.7618008767527,-742.4135990414169,0.0038208431631111
79A_28,0.6483376156805182,RFR,-301.3533319056398,-440.231328622856,0.0037799785303506
38A_32,0.5748167456126191,RFR,-488.7640291820852,-696.1386502834313,0.0036841038150278
33B_56,0.2909997735705454,RFR,-211.1237741872477,-337.2423853015321,0.0036542411987797
17A_11,0.3816943263758528,RFR,-310.2724965523928,-446.3051459013421,0.0036243785825316
7_70,0.431548092783906,RFR,-545.7556091106427,-744.2435075791735,0.0036212351492423
43_84,0.4495816449470636,SVR,-421.9495567739768,-629.6996904202574,0.0035442210336551
17_15,0.7412331656106644,RFR,-422.88577309282965,-588.4199269197155,0.0035347907337873
7A_87,0.5319602853078003,RFR,-438.2222748098306,-617.6375357625298,0.0035332190171427
