,STOPPOINTID,LAT,LNG,LOCATION
332,89,53.3780271,-6.261592100000001,Glasnevin
333,90,53.3863855,-6.2652657,Glasnevin
334,91,53.3884279,-6.2654081,Ballygall
335,92,53.3898373,-6.264674200000001,Dublin
336,93,53.3923015,-6.264153,Dublin
337,94,53.39608689999999,-6.264412099999999,Dublin
338,1278,53.3442366,-6.261300100000001,Dublin
339,1282,53.34234199999999,-6.264501,Dublin
340,1284,53.33816239999999,-6.2658325,Dublin
341,1285,53.3344369,-6.265118,Saint Kevin's
342,1286,53.33249730000001,-6.2656794,Saint Kevin's
343,1288,53.3323228,-6.269637599999999,Portobello
344,1289,53.33212940000001,-6.2730388,Portobello
345,1360,53.33198339999999,-6.276618299999999,Saint Catherine's
346,1362,53.33120400000001,-6.2799079,Saint Catherine's
347,1363,53.3318459,-6.2851673,Saint Catherine's
348,1364,53.3323459,-6.288060099999999,Saint James' (part of Phoenix Park)
349,1365,53.3329015,-6.290455299999999,Saint James' (part of Phoenix Park)
350,1366,53.3351099,-6.294169600000001,Saint James' (part of Phoenix Park)
351,1367,53.33567470000001,-6.2965651,Saint James' (part of Phoenix Park)
352,1369,53.33886719999999,-6.302245499999999,Dublin
353,1370,53.33918859999999,-6.305251199999999,Saint James' (part of Phoenix Park)
354,1371,53.33887619999999,-6.307936700000001,Dublin 8
355,1372,53.3381037,-6.309874400000001,Inchicore
356,1373,53.3377748,-6.3120349,Inchicore
357,1374,53.3392177,-6.313014099999998,Inchicore
358,1946,45.0617188,7.681954500000001,10123 Turin
359,1947,53.3396797,-6.319066699999999,147-167 Emmet Rd
360,1948,53.33868289999999,-6.322000699999999,Inchicore
361,1949,43.2308969,-2.7506454,48340
362,1950,53.3360997,-6.325952999999999,Inchicore
363,1951,53.3329265,-6.329472399999998,Inchicore
364,1952,53.33170949999999,-6.330036799999998,Inchicore
365,1953,53.3293014,-6.333735599999999,Inchicore
366,1954,52.07783999999999,5.033766000000001,3454 HP Utrecht
367,1955,53.3279234,-6.3379182,Walkinstown
368,1956,53.3263687,-6.343820200000001,Walkinstown
369,1957,53.32541159999999,-6.347006599999999,Drimnagh
370,1958,53.32455789999999,-6.3494036,Drimnagh
371,1959,53.3222338,-6.355745999999999,Fox-And-Geese
372,1960,53.3200513,-6.361936600000001,Fox-And-Geese
373,1968,53.3195137,-6.3822837,Bushelloaf
374,1969,53.3198105,-6.3842839,Bushelloaf
375,1970,53.32074249999999,-6.389397300000001,Bushelloaf
376,1971,53.3211263,-6.3911992,Bushelloaf
377,2114,53.3242146,-6.395601599999999,Clondalkin
378,2115,53.3257205,-6.3952763,Clondalkin
379,2133,53.32480450000001,-6.403400800000001,Bawnoges
380,2134,53.321627,-6.412465899999999,Bawnoges
381,2165,53.3202192,-6.4242318,Deansrath
382,2166,53.3199482,-6.426698999999998,Deansrath
383,2167,53.31822140000001,-6.4356623,Nangor
384,3378,53.3196983,-6.414774099999998,Bawnoges
385,3379,49.269202,-117.654617,Castlegar
386,3383,53.31845149999999,-6.444125499999998,Ballybane
387,3384,53.3211743,-6.4580496,Clutterland
388,3385,53.3209883,-6.457640199999999,Clutterland
389,3386,53.3189826,-6.463102699999999,Clutterland
390,3387,53.31849659999999,-6.466260499999999,Milltown
391,3389,53.3157439,-6.480161099999999,Milltown
392,3390,52.962639,-1.119617,Nottingham NG3 7AB
393,3392,43.1765123,-2.5831247,48240
394,3393,43.1770659,-2.581853600000001,48240
395,3394,53.3005643,-6.5010778,Cornerpark
396,3396,53.2997652,-6.4993203,Cornerpark
397,3397,53.29963650000001,-6.496624300000001,Cornerpark
398,3398,53.2980706,-6.493618800000001,Commons Little
399,3399,53.29606299999999,-6.4920027,Ballynakelly
400,4379,53.31628809999999,-6.373624400000002,Redcow
401,4456,53.339916,-6.265696,Dublin
402,4495,53.34618769999999,-6.256960699999999,Dublin
403,4559,53.3175135,-6.471527299999999,Milltown
404,4669,53.31989959999999,-6.421821500000001,Deansrath
405,6011,53.32757970000001,-6.3965412,Ballymanaggin
406,6119,53.3112989,-6.4906319,Keeloges
407,6184,53.29666229999999,-6.4705352,Co. Dublin
408,6187,44.63966099999999,-63.62685200000001,Halifax
409,6188,53.2936833,-6.478652200000001,Greenoge
410,6215,53.2940779,-6.471557600000001,Greenoge
411,6244,53.3227296,-6.408206799999999,Bawnoges
412,7546,33.963367,-84.36492199999999,Sandy Springs
413,7547,-3.810659999999999,-38.41189,Sabiaguaba
414,1406,53.3351173,-6.293710099999999,Saint James' (part of Phoenix Park)
415,1407,53.3024745,-6.178380100000001,Blackrock
416,1409,53.33033879999999,-6.297362,Drimnagh
417,1934,53.34411180000001,-6.265506299999999,Dublin 8
418,2094,53.334752,-6.289750600000001,Saint James' (part of Phoenix Park)
419,2095,53.3290284,-6.3023728,Drimnagh
420,2096,53.3251669,-6.307128199999999,Kimmage
421,2097,53.327435,-6.309726,Drimnagh
422,2099,53.3255616,-6.3166005,Drimnagh
423,2101,53.3249399,-6.3181327,Crumlin
424,2102,53.324185,-6.3261805,Crumlin
425,2103,52.949326,-1.229815,Nottingham NG8 2GR
426,2310,53.3424766,-6.2697897,Dublin 8
427,2311,53.33825599999999,-6.2705117,Portobello
428,2312,53.3388789,-6.275484199999998,The Liberties
429,2313,53.3387171,-6.2784261,The Liberties
430,2314,53.3383537,-6.280821499999999,Saint Catherine's
431,2315,53.337536,-6.285239000000001,Saint Catherine's
432,2332,43.2837831,-2.6318481,48382
433,2333,53.3178274,-6.332586799999999,Crumlin
434,2334,N/A,N/A,N/A
435,2335,53.31164779999999,-6.343094899999999,Greenhills
436,2336,53.30727979999999,-6.3370979,Limekilnfarm
437,2337,53.3060199,-6.348436299999999,Kilnamanagh
438,2339,53.3025712,-6.351458699999999,Tymon North
439,2349,53.28503139999999,-6.378475700000001,Whitestown
440,2351,53.2832081,-6.384544099999999,Whitestown
441,2352,53.2775372,-6.397410499999999,Whitestown
442,2420,53.3011849,-6.3512734,Tymon North
443,2421,53.2996086,-6.346360700000001,Tymon North
444,2423,53.2982654,-6.342954199999999,Tymon North
445,2424,53.2951495,-6.341229600000001,Tymon North
446,2447,53.29298550000001,-6.342678599999999,Tymon North
447,2535,53.2810133,-6.3589186,Oldbawn
448,2536,53.2829549,-6.359579099999999,Oldbawn
449,2557,53.2885064,-6.363281199999999,Tallaght
450,2558,53.28025919999999,-6.3839401,Whitestown
451,2559,53.27638049999999,-6.378994699999999,Whitestown
452,2560,53.2739023,-6.379838199999999,Kiltipper
453,2561,53.27276029999999,-6.3844395,Whitestown
454,2562,53.2731851,-6.3879321,Whitestown
455,2564,53.2737655,-6.3916439,Whitestown
456,2573,53.27426130000001,-6.406772999999999,Kiltalown
457,2574,53.27453870000001,-6.4107026,Gibbons
458,2575,53.27717009999999,-6.4188257,Gibbons
459,2596,53.2898063,-6.340926700000001,Tymon South
460,2602,53.2842949,-6.344034799999999,Tymon South
461,2611,53.2869171,-6.3406336,Tymon South
462,2613,53.2825053,-6.347853399999999,Tymon South
463,2614,53.2814296,-6.350654300000001,Oldbawn
464,2615,53.28068259999999,-6.3551371,Oldbawn
465,2616,53.28463960000001,-6.3606392,Oldbawn
466,2617,53.28671019999999,-6.362075,Tallaght
467,395,53.3419506,-6.235397100000001,Dublin
468,396,53.34244200000001,-6.239476,Dublin
469,397,53.3427792,-6.2420404,Dublin
470,398,53.3432926,-6.2454998,Dublin
471,399,53.3438442,-6.2482997,Dublin
